ENSMUSG00000000001,14679
ENSMUSG00000000003,54192
ENSMUSG00000000028,12544
ENSMUSG00000000037,107815
ENSMUSG00000000049,11818
ENSMUSG00000000056,67608
ENSMUSG00000000058,12390
ENSMUSG00000000078,23849
ENSMUSG00000000085,29871
ENSMUSG00000000088,12858
ENSMUSG00000000093,21385
ENSMUSG00000000094,21387
ENSMUSG00000000103,22768
ENSMUSG00000000120,18053
ENSMUSG00000000125,22415
ENSMUSG00000000126,216795
ENSMUSG00000000127,14158
ENSMUSG00000000131,74204
ENSMUSG00000000134,209446
ENSMUSG00000000142,12006
ENSMUSG00000000148,231841
ENSMUSG00000000149,14673
ENSMUSG00000000154,18400
ENSMUSG00000000157,16415
ENSMUSG00000000159,72058
ENSMUSG00000000167,72614
ENSMUSG00000000168,235339
ENSMUSG00000000171,66925
ENSMUSG00000000182,64654
ENSMUSG00000000183,14177
ENSMUSG00000000184,12444
ENSMUSG00000000194,277463
ENSMUSG00000000197,338370
ENSMUSG00000000202,72014
ENSMUSG00000000204,20558
ENSMUSG00000000214,21823
ENSMUSG00000000215,16334
ENSMUSG00000000216,20278
ENSMUSG00000000223,13497
ENSMUSG00000000244,27027
ENSMUSG00000000247,16870
ENSMUSG00000000248,70809
ENSMUSG00000000253,66355
ENSMUSG00000000263,14654
ENSMUSG00000000266,23947
ENSMUSG00000000275,217069
ENSMUSG00000000276,56077
ENSMUSG00000000278,74617
ENSMUSG00000000282,17428
ENSMUSG00000000290,16414
ENSMUSG00000000295,69692
ENSMUSG00000000296,21987
ENSMUSG00000000301,18618
ENSMUSG00000000303,12550
ENSMUSG00000000305,12561
ENSMUSG00000000308,12716
ENSMUSG00000000317,12029
ENSMUSG00000000318,17312
ENSMUSG00000000320,11684
ENSMUSG00000000325,11877
ENSMUSG00000000326,12846
ENSMUSG00000000339,66368
ENSMUSG00000000340,13171
ENSMUSG00000000346,23994
ENSMUSG00000000355,68995
ENSMUSG00000000359,19700
ENSMUSG00000000365,30054
ENSMUSG00000000374,216131
ENSMUSG00000000378,216527
ENSMUSG00000000381,22373
ENSMUSG00000000384,21379
ENSMUSG00000000385,50528
ENSMUSG00000000392,14089
ENSMUSG00000000394,14526
ENSMUSG00000000399,66108
ENSMUSG00000000402,54156
ENSMUSG00000000409,16818
ENSMUSG00000000411,58864
ENSMUSG00000000416,30785
ENSMUSG00000000420,14423
ENSMUSG00000000435,17877
ENSMUSG00000000439,67027
ENSMUSG00000000440,19016
ENSMUSG00000000441,110157
ENSMUSG00000000486,54204
ENSMUSG00000000489,18591
ENSMUSG00000000530,11482
ENSMUSG00000000531,56149
ENSMUSG00000000532,11479
ENSMUSG00000000538,216810
ENSMUSG00000000544,59290
ENSMUSG00000000552,29813
ENSMUSG00000000555,16402
ENSMUSG00000000560,14395
ENSMUSG00000000561,70465
ENSMUSG00000000562,"11542,69296"
ENSMUSG00000000563,11950
ENSMUSG00000000567,20682
ENSMUSG00000000568,11991
ENSMUSG00000000579,100040563
ENSMUSG00000000581,57316
ENSMUSG00000000594,14667
ENSMUSG00000000600,79264
ENSMUSG00000000605,12727
ENSMUSG00000000606,669149
ENSMUSG00000000617,108072
ENSMUSG00000000627,20355
ENSMUSG00000000628,15277
ENSMUSG00000000631,360013
ENSMUSG00000000632,20370
ENSMUSG00000000673,107766
ENSMUSG00000000682,23833
ENSMUSG00000000686,67477
ENSMUSG00000000690,15414
ENSMUSG00000000693,16950
ENSMUSG00000000701,27382
ENSMUSG00000000706,12231
ENSMUSG00000000708,18519
ENSMUSG00000000711,19344
ENSMUSG00000000724,12957
ENSMUSG00000000730,54427
ENSMUSG00000000731,11634
ENSMUSG00000000732,50723
ENSMUSG00000000738,234847
ENSMUSG00000000739,57429
ENSMUSG00000000740,270106
ENSMUSG00000000743,234852
ENSMUSG00000000751,68275
ENSMUSG00000000753,20317
ENSMUSG00000000759,259279
ENSMUSG00000000766,18390
ENSMUSG00000000776,67065
ENSMUSG00000000782,21414
ENSMUSG00000000787,13205
ENSMUSG00000000791,16161
ENSMUSG00000000792,114479
ENSMUSG00000000794,140493
ENSMUSG00000000804,237898
ENSMUSG00000000805,12351
ENSMUSG00000000811,232223
ENSMUSG00000000817,14103
ENSMUSG00000000823,269401
ENSMUSG00000000826,13002
ENSMUSG00000000827,66314
ENSMUSG00000000838,14265
ENSMUSG00000000861,14025
ENSMUSG00000000869,16189
ENSMUSG00000000876,59038
ENSMUSG00000000881,53310
ENSMUSG00000000884,13972
ENSMUSG00000000889,13166
ENSMUSG00000000901,17385
ENSMUSG00000000902,20587
ENSMUSG00000000903,22364
ENSMUSG00000000915,29816
ENSMUSG00000000916,100609
ENSMUSG00000000934,72960
ENSMUSG00000000938,15395
ENSMUSG00000000942,15401
ENSMUSG00000000957,17387
ENSMUSG00000000958,20540
ENSMUSG00000000959,69089
ENSMUSG00000000976,217026
ENSMUSG00000000982,20302
ENSMUSG00000000983,14038
ENSMUSG00000001014,78369
ENSMUSG00000001016,67781
ENSMUSG00000001017,66511
ENSMUSG00000001018,20615
ENSMUSG00000001020,20198
ENSMUSG00000001021,20197
ENSMUSG00000001023,20199
ENSMUSG00000001025,20200
ENSMUSG00000001027,110880
ENSMUSG00000001029,15896
ENSMUSG00000001034,23939
ENSMUSG00000001036,13855
ENSMUSG00000001039,27078
ENSMUSG00000001052,99683
ENSMUSG00000001053,212706
ENSMUSG00000001054,66089
ENSMUSG00000001056,52530
ENSMUSG00000001062,72325
ENSMUSG00000001065,57247
ENSMUSG00000001076,239659
ENSMUSG00000001082,68294
ENSMUSG00000001089,269593
ENSMUSG00000001095,20500
ENSMUSG00000001098,330171
ENSMUSG00000001100,67811
ENSMUSG00000001103,18292
ENSMUSG00000001105,55978
ENSMUSG00000001119,12833
ENSMUSG00000001120,59093
ENSMUSG00000001123,16859
ENSMUSG00000001127,11836
ENSMUSG00000001128,18636
ENSMUSG00000001131,21857
ENSMUSG00000001134,22294
ENSMUSG00000001138,94218
ENSMUSG00000001143,214895
ENSMUSG00000001150,54387
ENSMUSG00000001151,18541
ENSMUSG00000001155,14317
ENSMUSG00000001156,17119
ENSMUSG00000001157,23885
ENSMUSG00000001158,66618
ENSMUSG00000001166,114643
ENSMUSG00000001168,246729
ENSMUSG00000001173,320634
ENSMUSG00000001175,12313
ENSMUSG00000001211,28169
ENSMUSG00000001225,13487
ENSMUSG00000001227,20359
ENSMUSG00000001228,18140
ENSMUSG00000001229,224897
ENSMUSG00000001240,54409
ENSMUSG00000001247,54135
ENSMUSG00000001248,52857
ENSMUSG00000001249,15451
ENSMUSG00000001260,14405
ENSMUSG00000001270,12709
ENSMUSG00000001280,20683
ENSMUSG00000001281,16421
ENSMUSG00000001285,60315
ENSMUSG00000001288,19411
ENSMUSG00000001289,56612
ENSMUSG00000001300,13642
ENSMUSG00000001305,67223
ENSMUSG00000001313,11858
ENSMUSG00000001323,27364
ENSMUSG00000001333,68828
ENSMUSG00000001334,384061
ENSMUSG00000001348,11433
ENSMUSG00000001349,12797
ENSMUSG00000001366,71538
ENSMUSG00000001376,73288
ENSMUSG00000001380,15115
ENSMUSG00000001383,66492
ENSMUSG00000001403,68612
ENSMUSG00000001415,229512
ENSMUSG00000001416,12462
ENSMUSG00000001418,56700
ENSMUSG00000001419,17261
